"Player1","Player2","Round","Result","FNL.1","FNL.2","FSP.1","FSW.1","SSP.1","SSW.1","ACE.1","DBF.1","WNR.1","UFE.1","BPC.1","BPW.1","NPA.1","NPW.1","TPW.1","ST1.1","ST2.1","ST3.1","ST4.1","ST5.1","FSP.2","FSW.2","SSP.2","SSW.2","ACE.2","DBF.2","WNR.2","UFE.2","BPC.2","BPW.2","NPA.2","NPW.2","TPW.2","ST1.2","ST2.2","ST3.2","ST4.2","ST5.2"
"Rafael Nadal","Kei Nishikori","4",1,3,0,71,67,29,14,12,1,36,28,5,8,10,19,129,7,7,7,NA,NA,66,51,34,16,2,1,36,51,4,10,20,25,110,6,5,6,NA,NA
"Stanislas Wawrinka","Novak Djokovic","5",1,3,2,58,71,42,36,17,5,51,60,5,10,20,30,153,2,6,6,3,9,73,75,27,23,7,1,45,60,4,7,26,35,161,6,4,2,6,7
"Tomas Berdych","David Ferrer","5",1,3,1,52,52,48,27,10,4,43,62,5,13,18,28,128,6,6,2,6,NA,61,46,39,23,2,1,30,46,3,12,12,13,119,1,4,6,4,NA
"Andy Murray","Roger Federer","5",0,1,3,61,60,39,28,9,1,41,46,1,2,17,27,121,3,4,7,3,NA,64,61,36,28,10,0,54,42,4,17,49,66,147,6,6,6,6,NA
"Rafael Nadal","Grigor Dimitrov","5",1,3,1,73,66,27,22,3,7,42,47,4,11,32,36,147,3,7,7,6,NA,58,64,42,32,16,5,54,61,3,6,28,41,132,6,6,6,2,NA
"Tomas Berdych","Stanislas Wawrinka","6",0,1,3,62,71,38,30,21,7,60,49,0,1,23,31,142,3,7,6,6,NA,61,72,39,32,18,4,57,49,1,4,14,18,143,6,6,7,7,NA
"Rafael Nadal","Roger Federer","6",1,3,0,65,41,35,22,3,1,28,25,4,14,3,10,105,7,6,6,NA,NA,66,45,34,18,8,1,34,50,1,2,23,42,86,6,3,3,NA,NA
"Rafael Nadal","Stanislas Wawrinka","7",0,1,3,78,50,22,10,1,3,19,32,2,6,5,8,88,3,2,6,3,NA,55,46,45,22,19,2,53,49,5,15,11,12,116,6,6,3,6,NA
"Pablo Carreno-Busta","Roger Federer","1",0,0,3,62,27,38,11,1,3,12,29,1,3,9,20,50,2,2,3,NA,NA,68,33,32,14,10,0,33,19,7,7,14,18,88,6,6,6,NA,NA
"Somdev Devvarman","Daniel Munoz-De La Nava","1",1,3,0,62,54,38,22,7,3,26,20,5,8,12,21,120,6,6,7,NA,NA,52,35,48,24,0,2,40,47,1,16,22,25,106,3,3,5,NA,NA
"Tobias Kamke","Paolo Lorenzi","1",1,3,2,62,53,38,15,4,6,42,55,10,22,14,32,140,6,6,3,0,6,46,42,54,31,6,8,39,54,10,18,19,27,139,3,3,6,6,3
"Julien Benneteau","Ricardas Berankis","1",1,3,1,72,87,28,19,14,2,48,27,4,13,14,30,163,7,6,5,7,NA,53,58,47,38,13,10,72,56,4,13,33,43,149,6,3,7,6,NA
"Lukas Lacko","Sam Querrey","1",0,0,3,52,31,48,22,4,4,21,24,1,1,3,5,72,3,4,4,NA,NA,58,39,42,19,10,1,42,37,4,7,12,13,93,6,6,6,NA,NA
"Jan Hajek","Denis Kudla","1",1,3,1,70,58,30,18,4,4,35,36,6,12,8,10,130,6,5,6,6,NA,68,48,32,17,5,5,30,51,1,7,6,9,93,2,7,0,4,NA
"Adrian Mannarino","Pablo Cuevas","1",0,2,3,63,71,37,38,5,5,45,80,5,12,28,41,160,3,6,3,7,5,59,67,41,27,5,6,54,57,6,20,14,22,175,6,2,6,5,7
"Gilles Simon","Lleyton Hewitt","1",1,3,2,59,42,41,25,7,2,41,49,10,14,11,18,136,3,1,6,6,7,49,40,51,29,4,6,44,72,9,10,19,35,120,6,6,4,1,5
"Philipp Petzschner","Marin Cilic","1",0,0,3,56,27,44,13,0,6,12,28,1,2,11,18,54,1,2,3,NA,NA,50,26,50,20,5,1,35,15,7,12,13,21,92,6,6,6,NA,NA
"Radek Stepanek","Nick Kyrgios","1",0,0,3,63,62,37,29,5,4,41,44,1,6,19,27,132,6,6,6,NA,NA,56,64,44,35,10,7,46,38,1,3,9,20,130,7,7,7,NA,NA
"Viktor Troicki","James Blake","1",1,3,0,48,29,52,20,12,4,33,12,7,11,14,21,91,6,6,6,NA,NA,47,22,53,15,3,2,23,31,2,2,9,22,59,4,2,2,NA,NA
"Juan Monaco","Daniel Gimeno-Traver","1",0,2,3,78,85,22,22,2,1,24,30,5,17,12,18,174,6,6,6,4,4,52,67,48,47,12,5,72,64,5,10,11,18,177,4,4,7,6,6
"Benjamin Becker","Jeremy Chardy","1",0,0,3,66,48,34,13,7,5,24,24,1,5,11,14,85,4,2,5,NA,NA,66,44,34,17,10,6,46,33,5,11,10,16,108,6,6,7,NA,NA
"Roberto Bautista Agut","Gilles Muller","1",1,3,0,83,51,17,6,6,0,27,18,5,14,5,6,100,6,6,6,NA,NA,55,36,45,18,8,5,32,29,1,3,12,20,75,3,4,2,NA,NA
"Jarkko Nieminen","Paul-Henri Mathieu","1",1,3,2,69,84,31,29,11,4,57,42,6,7,8,13,172,6,4,7,4,6,54,58,46,36,7,8,60,71,5,15,24,33,163,4,6,6,6,2
"Jo-Wilfried Tsonga","Aljaz Bedene","1",1,3,0,50,32,50,23,5,0,29,33,6,10,13,17,93,6,6,6,NA,NA,62,26,38,12,4,4,15,35,1,4,9,13,63,2,2,3,NA,NA
"Marinko Matosevic","David Ferrer","1",0,0,3,59,29,41,10,1,5,20,42,5,8,15,26,76,4,3,4,NA,NA,55,33,45,18,3,4,22,22,8,11,6,11,98,6,6,6,NA,NA
"Steve Johnson","Albert Montanes","1",0,2,3,55,53,45,32,5,7,56,41,4,5,19,35,118,4,6,3,6,1,65,59,35,21,5,4,38,20,6,19,11,16,142,6,3,6,3,6
"Joao Sousa","Go Soeda","1",1,3,0,70,40,30,14,7,2,29,21,7,10,5,7,87,6,6,6,NA,NA,58,24,42,10,3,4,19,41,1,4,6,11,57,1,3,2,NA,NA
"Marcel Granollers","Feliciano Lopez","1",0,2,2,70,55,30,18,7,3,29,37,5,14,17,34,132,5,6,4,6,NA,58,52,42,33,12,3,52,66,4,5,26,38,122,7,2,6,4,NA
"Illya Marchenko","Kevin Anderson","1",0,0,3,60,39,40,25,0,4,21,35,1,2,8,18,89,3,5,4,NA,NA,64,50,36,15,13,4,38,33,4,12,12,14,115,6,7,6,NA,NA
"Jan-Lennard Struff","Evgeny Donskoy","1",0,1,3,48,47,52,32,9,5,53,51,6,11,12,20,132,6,6,6,2,NA,59,59,41,25,14,5,40,38,6,10,8,11,132,7,2,7,6,NA
"Steve Darcis","Michael Llodra","1",0,1,3,71,49,29,23,3,1,35,18,4,6,21,42,112,4,6,1,4,NA,58,56,42,16,17,6,59,46,7,18,38,63,131,6,4,6,6,NA
"Milos Raonic","Xavier Malisse","1",1,3,1,73,55,27,14,16,2,61,36,6,9,32,45,116,6,6,4,6,NA,64,42,36,18,8,1,26,18,2,5,9,13,87,2,1,6,4,NA
"Andreas Haider-Maurer","Nicolas Almagro","1",0,1,3,65,50,35,20,8,3,28,32,1,4,7,10,99,6,4,3,3,NA,53,50,47,28,13,6,40,37,4,7,6,12,113,4,6,6,6,NA
"Martin Alund","Edouard Roger-Vasselin","1",0,1,3,57,31,43,17,1,2,24,41,2,7,11,22,83,2,6,1,0,NA,63,45,37,22,6,1,33,34,8,19,16,21,111,6,4,6,6,NA
"Blaz Kavcic","James Duckworth","1",1,3,0,63,33,37,17,1,0,25,8,7,12,11,20,89,6,6,6,NA,NA,46,19,54,11,3,4,13,27,1,5,7,22,50,2,2,2,NA,NA
"Andreas Seppi","Leonardo Mayer","1",1,3,2,67,73,33,32,8,3,50,69,9,14,18,27,171,6,6,6,6,6,64,68,36,28,11,8,48,69,6,10,19,37,154,7,4,3,7,4
"Jurgen Zopp","Tommy Robredo","1",0,0,3,68,35,32,9,3,0,24,27,0,0,14,27,58,3,2,1,NA,NA,65,37,35,12,6,3,32,7,6,15,8,10,95,6,6,6,NA,NA
"Igor Sijsling","Jurgen Melzer","1",1,3,0,64,41,36,18,16,3,31,16,6,11,3,8,94,6,6,6,NA,NA,72,37,28,6,5,6,24,22,2,5,8,10,71,4,3,2,NA,NA
"Ernests Gulbis","Rogerio Dutra Silva","1",1,3,0,53,36,47,23,7,2,40,26,6,9,16,24,97,6,7,6,NA,NA,65,31,35,13,1,2,17,32,3,6,15,23,74,1,6,3,NA,NA
"Tomas Berdych","Gael Monfils","1",0,2,3,66,91,34,33,11,2,72,57,1,5,35,50,174,6,4,7,7,5,72,104,28,27,26,3,66,44,3,8,15,21,189,7,6,6,6,7
"Sergiy Stakhovsky","Richard Gasquet","1",0,0,3,55,22,45,17,1,1,16,30,1,4,12,27,57,1,4,3,NA,NA,67,36,33,16,3,1,26,13,6,10,21,27,88,6,6,6,NA,NA
"Michal Przysiezny","Rhyne Williams","1",1,3,1,67,75,33,27,13,4,57,31,4,12,29,41,151,6,6,7,7,NA,67,66,33,21,19,2,45,33,1,10,6,16,134,3,7,5,5,NA
"Florent Serra","Nikolay Davydenko","1",0,0,3,64,35,36,13,1,1,17,25,2,3,2,3,75,3,4,5,NA,NA,67,50,33,16,3,3,28,27,5,7,5,5,96,6,6,7,NA,NA
"Florian Mayer","Denis Istomin","1",0,1,2,59,40,41,15,6,3,22,24,4,7,10,14,87,6,3,5,NA,NA,69,44,31,13,7,3,53,31,5,11,17,26,101,4,6,7,NA,NA
"Albert Ramos","Jerzy Janowicz","1",0,0,3,61,41,39,25,5,1,22,17,1,6,10,18,94,6,5,3,NA,NA,63,49,37,26,17,3,65,46,3,7,19,22,113,7,7,6,NA,NA
"Kenny De Schepper","Robin Haase","1",0,1,3,64,61,36,21,7,11,56,60,3,6,31,49,125,4,6,6,3,NA,65,59,35,25,8,6,35,31,3,8,17,23,131,6,7,2,6,NA
"Vasek Pospisil","Horacio Zeballos","1",0,2,2,56,67,44,34,21,7,58,53,1,4,21,30,141,6,4,7,4,NA,68,71,32,18,10,4,44,42,1,10,15,22,135,7,6,6,1,NA
"Stanislas Wawrinka","Thiemo De Bakker","1",1,3,1,69,74,31,24,9,3,55,50,4,15,35,56,146,7,6,6,7,NA,69,70,31,25,7,2,38,30,1,4,20,33,135,5,3,7,5,NA
"Jesse Levine","Kei Nishikori","1",0,0,3,52,16,48,9,1,5,9,33,1,3,4,8,49,3,2,0,NA,NA,51,27,49,19,2,4,26,25,8,11,7,7,86,6,6,6,NA,NA
"Grega Zemlja","Santiago Giraldo","1",1,3,0,52,32,48,21,12,2,43,24,6,13,6,7,92,6,6,6,NA,NA,64,30,36,12,4,0,19,26,0,3,1,2,62,1,4,1,NA,NA
"Lukasz Kubot","Maxime Teixeira","1",1,2,1,64,30,36,12,4,5,25,45,6,16,16,36,90,6,5,3,NA,NA,64,37,36,12,4,5,26,42,5,8,11,18,85,4,7,1,NA,NA
"Benoit Paire","Marcos Baghdatis","1",1,2,1,46,40,54,29,6,2,39,46,2,3,21,28,101,3,7,4,NA,NA,53,34,47,25,2,7,17,24,2,14,13,25,104,6,6,3,NA,NA
"Andreas Beck","Fabio Fognini","1",0,0,3,55,37,45,25,4,4,34,39,1,13,15,23,106,3,5,3,NA,NA,64,50,36,27,10,5,39,22,5,13,9,11,125,6,7,6,NA,NA
"Pere Riba","Lukas Rosol","1",0,0,3,60,38,40,14,3,0,12,16,1,5,0,6,82,3,4,4,NA,NA,62,41,38,23,7,4,62,50,4,7,9,12,97,6,6,6,NA,NA
"Martin Klizan","Michael Russell","1",1,2,1,49,29,51,22,7,4,32,37,6,11,13,19,92,3,6,6,NA,NA,69,35,31,9,3,4,22,32,3,12,10,19,81,6,3,1,NA,NA
"Rafael Nadal","Daniel Brands","1",1,3,1,84,74,16,12,2,4,40,26,3,8,19,25,140,4,7,6,6,NA,74,66,26,22,10,1,51,53,1,4,25,40,115,6,6,4,3,NA
"Fernando Verdasco","Marc Gicquel","1",1,3,0,64,37,36,11,4,5,25,22,7,13,7,12,89,6,6,6,NA,NA,53,23,47,13,1,3,11,25,1,3,5,8,58,2,3,1,NA,NA
"Federico Delbonis","Julian Reister","1",1,3,1,55,52,45,27,8,8,53,41,7,10,13,23,122,6,6,6,6,NA,72,47,28,15,2,1,23,35,1,8,9,15,97,7,1,0,4,NA
"Mikhail Youzhny","Pablo Andujar","1",1,3,1,65,70,35,20,11,5,71,52,6,20,26,37,153,4,6,6,6,NA,56,49,44,27,2,4,28,39,3,12,11,24,127,6,4,2,3,NA
"Carlos Berlocq","John Isner","1",0,0,3,73,45,27,10,3,3,27,11,1,5,11,18,83,3,4,4,NA,NA,63,45,37,16,14,1,52,29,4,9,16,27,97,6,6,6,NA,NA
"Andrey Kuznetsov","Ryan Harrison","1",0,0,3,71,48,29,11,4,4,35,31,2,10,17,25,94,3,4,6,NA,NA,56,46,44,26,6,2,29,20,4,8,12,18,111,6,6,7,NA,NA
"Jack Sock","Guillermo Garcia-Lopez","1",1,3,0,56,32,44,23,4,2,26,26,7,13,6,9,97,6,6,7,NA,NA,63,30,37,11,0,10,13,38,2,7,9,14,66,2,2,5,NA,NA
"Tommy Haas","Guillaume Rufin","1",1,3,0,65,48,35,13,6,4,27,41,5,9,12,15,101,7,6,6,NA,NA,61,32,39,21,2,2,16,33,1,4,14,23,78,6,1,3,NA,NA
"Jiri Vesely","Philipp Kohlschreiber","1",0,1,3,61,59,39,25,8,6,35,44,3,5,21,35,120,6,6,5,2,NA,62,61,38,21,7,2,50,41,3,13,16,22,132,7,1,7,6,NA
"Simone Bolelli","Yen-Hsun Lu","1",0,0,3,63,33,37,12,4,NA,18,27,1,1,5,8,57,4,4,1,NA,NA,77,32,23,9,4,NA,20,12,4,11,4,6,78,6,6,2,NA,NA
"Bernard Tomic","Victor Hanescu","1",0,0,3,63,38,37,17,6,3,36,34,1,11,14,15,91,5,6,1,NA,NA,71,51,29,19,5,3,27,22,3,5,14,25,103,7,7,2,NA,NA
"Alexandr Dolgopolov","Dmitry Tursunov","1",0,0,3,55,51,45,22,14,2,44,50,3,7,8,11,116,6,4,6,NA,NA,51,47,49,28,8,6,38,42,4,8,7,13,119,7,6,7,NA,NA
"Alejandro Falla","Grigor Dimitrov","1",0,0,2,54,10,46,7,1,1,6,15,1,5,5,7,38,4,0,NA,NA,NA,59,20,41,10,2,1,14,16,2,2,6,7,48,6,1,NA,NA,NA
"Alex Kuznetsov","Lucas Pouille","1",0,0,3,63,33,37,13,5,3,34,49,1,6,19,26,84,1,6,2,NA,NA,48,36,52,33,8,3,38,37,5,11,10,14,109,6,7,6,NA,NA
"Ivan Dodig","Guido Pella","1",0,2,3,56,80,44,37,21,8,70,72,6,14,35,48,172,6,4,3,6,1,61,71,39,35,4,7,52,49,6,15,21,31,179,4,6,6,2,1
"Novak Djokovic","David Goffin","1",1,3,0,69,53,31,20,5,0,26,31,3,11,13,21,114,7,6,7,NA,NA,61,46,39,25,7,2,32,38,1,2,15,26,99,6,4,5,NA,NA
"Somdev Devvarman","Roger Federer","2",0,0,3,61,19,39,16,2,NA,12,14,0,3,3,14,52,2,1,1,NA,NA,62,30,38,18,3,NA,54,33,7,14,19,30,88,6,6,6,NA,NA
"Julien Benneteau","Tobias Kamke","2",1,3,2,72,83,28,23,5,8,63,76,5,10,32,47,174,7,7,5,0,6,65,75,35,37,5,4,55,38,7,16,22,34,183,6,5,7,6,4
"Jan Hajek","Sam Querrey","2",0,0,3,66,36,34,16,3,1,31,25,4,8,7,18,88,4,5,4,NA,NA,62,45,38,14,8,6,39,28,7,12,9,15,107,6,7,6,NA,NA
"Gilles Simon","Pablo Cuevas","2",1,3,1,57,41,43,26,4,1,54,41,10,17,16,22,126,6,6,6,6,NA,56,37,44,19,2,4,23,39,2,5,8,14,89,7,1,1,1,NA
"Nick Kyrgios","Marin Cilic","2",0,0,3,64,33,36,10,3,4,14,23,0,3,2,6,57,4,2,2,NA,NA,51,32,49,23,8,3,32,15,5,7,5,5,92,6,6,6,NA,NA
"Daniel Gimeno-Traver","Viktor Troicki","2",0,2,3,78,84,22,15,1,3,49,60,7,10,14,23,162,6,6,0,7,4,56,61,44,35,14,2,57,56,10,23,20,37,180,4,7,6,6,6
"Roberto Bautista Agut","Jeremy Chardy","2",0,0,3,79,42,21,8,1,0,17,11,0,0,14,20,80,1,5,4,NA,NA,64,50,36,17,11,4,59,41,4,8,21,28,101,6,7,6,NA,NA
"Jo-Wilfried Tsonga","Jarkko Nieminen","2",1,3,0,65,44,35,19,8,1,35,36,4,7,18,22,106,7,6,6,NA,NA,61,41,39,25,1,2,24,35,1,1,21,29,83,6,4,3,NA,NA
"Albert Montanes","David Ferrer","2",0,0,3,67,28,33,9,3,1,28,36,2,3,10,17,63,2,1,3,NA,NA,60,31,40,15,3,2,29,21,8,15,8,13,96,6,6,6,NA,NA
"Feliciano Lopez","Joao Sousa","2",1,3,1,64,56,36,23,17,0,42,36,3,12,17,22,126,3,6,6,6,NA,66,58,34,24,10,3,31,41,1,3,11,18,112,6,3,4,4,NA
"Evgeny Donskoy","Kevin Anderson","2",0,1,3,67,62,33,21,3,2,44,36,0,5,9,13,120,7,1,5,2,NA,68,69,32,26,14,3,58,37,5,11,14,19,148,6,6,7,6,NA
"Milos Raonic","Michael Llodra","2",1,3,1,63,62,37,25,24,5,75,42,4,12,33,46,144,7,3,7,6,NA,61,59,39,32,14,4,44,26,2,7,28,56,127,5,6,6,2,NA
"Edouard Roger-Vasselin","Nicolas Almagro","2",0,0,3,57,30,43,16,4,1,23,34,1,11,11,17,81,2,4,3,NA,NA,46,36,54,30,9,6,41,45,5,12,11,14,95,6,6,6,NA,NA
"Andreas Seppi","Blaz Kavcic","2",1,3,2,57,67,43,41,14,2,63,40,6,18,24,39,176,6,7,6,4,6,63,64,37,37,7,5,46,40,3,9,19,32,157,0,6,7,6,3
"Igor Sijsling","Tommy Robredo","2",0,2,3,52,51,48,30,9,4,64,53,3,6,37,50,132,7,6,3,1,1,62,67,38,28,12,4,52,29,8,14,8,16,157,6,4,6,6,6
"Gael Monfils","Ernests Gulbis","2",1,3,1,64,65,36,32,8,4,29,33,7,11,10,19,139,6,6,7,6,NA,60,55,40,22,3,6,52,69,4,12,26,38,132,7,4,6,2,NA
"Michal Przysiezny","Richard Gasquet","2",0,0,3,64,27,36,8,3,0,14,34,2,3,6,13,53,3,3,0,NA,NA,59,32,41,14,9,3,39,15,8,13,6,9,92,6,6,6,NA,NA
"Denis Istomin","Nikolay Davydenko","2",0,0,3,68,41,32,19,3,0,19,41,1,1,13,22,80,4,5,2,NA,NA,65,41,35,18,2,1,22,28,5,14,15,21,102,6,7,6,NA,NA
"Robin Haase","Jerzy Janowicz","2",0,1,3,68,51,32,21,1,0,23,28,3,10,17,34,115,4,6,4,3,NA,60,48,40,28,5,7,59,47,6,14,25,44,124,6,4,6,6,NA
"Stanislas Wawrinka","Horacio Zeballos","2",1,3,0,66,52,34,18,19,6,50,33,3,6,13,25,111,6,7,6,NA,NA,62,46,38,16,4,3,25,26,0,8,17,24,90,2,6,4,NA,NA
"Grega Zemlja","Kei Nishikori","2",0,1,3,48,39,52,24,5,5,24,47,6,10,8,13,110,1,7,1,4,NA,63,45,37,19,4,5,43,56,11,23,16,19,135,6,5,6,6,NA
"Benoit Paire","Lukasz Kubot","2",1,3,0,57,34,43,20,9,3,54,35,7,16,15,22,102,7,6,6,NA,NA,75,46,25,8,1,2,23,26,4,6,9,24,82,6,2,4,NA,NA
"Lukas Rosol","Fabio Fognini","2",0,1,3,57,51,43,21,8,3,37,51,2,6,17,33,105,2,6,6,1,NA,74,60,26,17,7,4,34,36,4,11,5,11,131,6,7,2,6,NA
"Rafael Nadal","Martin Klizan","2",1,3,1,74,55,26,10,5,2,27,29,7,10,14,20,113,4,6,6,6,NA,56,30,44,25,6,5,32,57,4,7,15,28,90,6,3,3,3,NA
"Fernando Verdasco","Janko Tipsarevic","2",0,2,3,58,77,42,40,10,9,74,89,4,14,29,39,187,6,1,6,7,6,64,82,36,38,9,1,49,52,5,20,21,32,194,7,6,3,5,8
"Mikhail Youzhny","Federico Delbonis","2",1,3,1,69,70,31,24,5,4,44,45,6,15,19,32,152,6,6,7,6,NA,57,55,43,30,2,5,48,48,3,11,17,32,136,3,7,5,4,NA
"Ryan Harrison","John Isner","2",0,2,3,64,88,36,32,9,9,52,37,1,7,13,26,160,7,7,3,1,6,65,81,35,37,15,2,61,52,5,18,39,56,183,5,6,6,6,8
"Tommy Haas","Jack Sock","2",1,3,0,74,62,26,15,11,3,34,30,4,16,10,15,116,7,6,7,NA,NA,54,39,46,22,4,6,25,34,1,7,18,26,96,6,2,5,NA,NA
"Dmitry Tursunov","Victor Hanescu","2",0,0,2,59,31,41,9,6,4,25,15,2,2,6,9,62,4,6,NA,NA,NA,67,33,33,9,6,0,24,10,3,5,5,6,66,6,6,NA,NA,NA
"Lucas Pouille","Grigor Dimitrov","2",0,0,3,60,31,40,14,1,3,15,39,1,6,13,23,71,1,6,1,NA,NA,49,37,51,29,5,3,37,33,5,10,17,19,103,6,7,6,NA,NA
"Novak Djokovic","Guido Pella","2",1,3,0,72,38,28,10,1,2,29,26,7,16,17,23,93,6,6,6,NA,NA,57,26,43,12,1,4,10,34,0,1,3,7,58,2,0,2,NA,NA
"Julien Benneteau","Roger Federer","3",0,0,3,82,41,18,8,2,1,15,31,1,3,9,15,64,3,4,5,NA,NA,65,42,35,22,7,0,38,21,4,4,8,11,98,6,6,7,NA,NA
"Gilles Simon","Sam Querrey","3",1,3,2,60,52,40,32,3,2,36,29,6,10,11,22,133,2,6,2,7,6,58,60,42,21,9,7,61,50,7,14,21,33,134,6,3,6,6,2
"Viktor Troicki","Marin Cilic","3",1,3,0,65,61,35,20,7,4,32,36,4,10,13,21,128,7,6,7,NA,NA,59,43,41,27,6,4,34,56,2,9,20,29,115,6,4,5,NA,NA
"Jo-Wilfried Tsonga","Jeremy Chardy","3",1,3,0,67,40,33,17,6,0,25,24,5,10,13,15,86,6,6,7,NA,NA,65,35,35,10,3,3,17,34,0,2,15,21,60,1,2,5,NA,NA
"Feliciano Lopez","David Ferrer","3",0,0,3,63,37,37,14,5,3,21,41,3,5,18,28,80,1,5,4,NA,NA,66,41,34,17,1,4,35,30,7,19,14,20,111,6,7,6,NA,NA
"Milos Raonic","Kevin Anderson","3",0,0,3,57,49,43,29,16,1,50,38,1,4,13,27,102,5,6,3,NA,NA,69,54,31,19,8,2,31,15,3,12,10,12,126,7,7,6,NA,NA
"Andreas Seppi","Nicolas Almagro","3",0,0,3,51,34,49,18,6,2,32,37,1,5,5,8,74,6,0,4,NA,NA,69,50,31,12,19,2,43,20,5,13,12,14,107,7,6,6,NA,NA
"Gael Monfils","Tommy Robredo","3",0,2,3,68,73,32,27,2,1,61,68,4,12,28,36,154,6,7,2,6,2,70,74,30,30,4,2,50,52,6,17,28,40,170,2,6,6,7,6
"Nikolay Davydenko","Richard Gasquet","3",0,0,3,76,46,24,9,3,0,36,38,2,3,11,18,83,4,4,3,NA,NA,68,40,32,19,5,3,27,18,5,10,17,31,101,6,6,6,NA,NA
"Stanislas Wawrinka","Jerzy Janowicz","3",1,3,1,58,54,42,31,9,2,48,29,5,14,24,32,136,6,6,6,6,NA,61,58,39,23,6,10,37,46,1,5,19,31,116,3,7,3,3,NA
"Benoit Paire","Kei Nishikori","3",0,1,3,43,40,57,36,6,9,36,64,4,9,10,20,119,3,7,4,1,NA,63,53,37,23,1,5,27,34,8,19,14,27,137,6,6,6,6,NA
"Rafael Nadal","Fabio Fognini","3",1,3,0,78,52,22,14,5,1,24,40,5,18,15,20,122,7,6,6,NA,NA,67,47,33,26,3,2,47,59,3,11,17,31,111,6,4,4,NA,NA
"Mikhail Youzhny","Janko Tipsarevic","3",1,3,0,64,40,36,21,3,3,42,29,4,8,16,24,96,6,6,6,NA,NA,49,28,51,25,5,5,22,22,0,3,10,20,77,4,4,3,NA,NA
"Tommy Haas","John Isner","3",0,2,3,63,99,37,52,15,9,85,43,3,23,14,23,224,7,7,4,6,1,78,132,22,24,27,0,92,58,2,13,52,80,213,5,6,6,7,8
"Victor Hanescu","Philipp Kohlschreiber","3",0,0,3,73,31,27,8,1,5,21,24,1,14,9,22,71,0,6,1,NA,NA,59,43,41,20,6,1,40,23,6,9,19,32,105,6,7,6,NA,NA
"Novak Djokovic","Grigor Dimitrov","3",1,3,0,68,39,32,13,2,0,13,22,7,16,6,13,94,6,6,6,NA,NA,69,33,31,9,0,2,18,48,1,5,8,12,61,2,2,3,NA,NA
"Gilles Simon","Roger Federer","4",0,2,3,61,65,39,28,5,3,32,47,3,6,15,28,131,1,6,6,2,3,64,56,36,23,9,2,60,56,6,14,25,35,147,6,4,2,6,6
"Jo-Wilfried Tsonga","Viktor Troicki","4",1,3,0,77,45,23,15,1,2,33,24,4,12,18,25,98,6,6,6,NA,NA,62,34,38,15,5,1,20,27,0,3,19,28,70,3,3,3,NA,NA
"Kevin Anderson","David Ferrer","4",0,0,3,71,34,29,7,5,2,25,41,0,2,6,12,60,3,1,1,NA,NA,52,28,48,24,1,3,28,11,6,17,9,12,97,6,6,6,NA,NA
